graph,original_order,original_size,original_time,original_iterations,original_error,original_technique,batch_size,order,size,time,iterations,error,technique
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1","685230.4","7605340","836.3116","53","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1","685230.4","7605340","34.022000000000006","2.2","0.0000038813599999999995","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1","685230.4","7605340","27.638600000000004","1.8","0.00000395592","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5","685230.4","7605344.2","835.258","53","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5","685230.4","7605344.2","85.9062","5","0.0000046577599999999994","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5","685230.4","7605344.2","80.2156","4.4","0.00000465306","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10","685232.4","7605350","837.7266","53","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10","685232.4","7605350","109.204","6.4","0.00000440238","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10","685232.4","7605350","104.3152","5.8","0.0000045593600000000005","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50","685238.2","7605392.6","846.0414000000001","53","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50","685238.2","7605392.6","173.7982","10","0.00000477018","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50","685238.2","7605392.6","170.93800000000002","9.6","0.00000476876","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100","685246","7605447.4","854.025","53.6","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100","685246","7605447.4","228.09739999999996","13","0.00000495266","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100","685246","7605447.4","224.68099999999995","12.6","0.000005097100000000001","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500","685319.8","7605885.2","876.2632000000001","54.2","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500","685319.8","7605885.2","359.89639999999997","20.6","0.00000492954","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500","685319.8","7605885.2","358.7468","20.4","0.0000048716999999999995","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000","685412.4","7606430.2","900.5206000000001","54.8","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000","685412.4","7606430.2","446.07720000000006","25","0.0000049616999999999994","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000","685412.4","7606430.2","445.10920000000004","25","0.00000498374","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000","686123.8","7610782.8","953.7890000000001","56.2","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000","686123.8","7610782.8","571.7704","32.8","0.0000053659","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000","686123.8","7610782.8","571.4941999999999","32.8","0.000005367660000000001","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10000","687006.6","7616234.4","979.8575999999999","57","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10000","687006.6","7616234.4","645.227","37","0.00000520736","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","10000","687006.6","7616234.4","642.3095999999999","37","0.00000520736","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50000","693761.4","7659450.4","1043.7892","56.2","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50000","693761.4","7659450.4","807.2018","44.2","0.000005015780000000001","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","50000","693761.4","7659450.4","810.2102000000001","44.2","0.000005015780000000001","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100000","701224.2","7712799.2","1075.7821999999999","55.4","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100000","701224.2","7712799.2","877.5474","46.4","0.000005842639999999999","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","100000","701224.2","7712799.2","873.9173999999999","46.4","0.000005842639999999999","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500000","735558.4","8122486.2","1164.7135999999998","51.8","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500000","735558.4","8122486.2","1035.2534","46.8","0.000005910600000000001","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","500000","735558.4","8122486.2","1038.5026","46.8","0.000005910600000000001","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000000","748945.6","8618696.6","1176.7572","47","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000000","748945.6","8618696.6","1088.9818","44.2","0.0000077865","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","1000000","748945.6","8618696.6","1085.6478000000002","44.2","0.0000077865","pagerankDynamic [skip-comp]"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000000","753754","12605366.4","1153.6652","31.6","0","pagerankStatic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000000","753754","12605366.4","1180.4976","32","5.805899999999999e-7","pagerankDynamic"
"web-BerkStan","685230","7600595","980.695","64","0","pagerankMonolithic","5000000","753754","12605366.4","1180.5499999999997","32","5.805899999999999e-7","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1","916428.8","5282014.2","753.5878","53.4","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1","916428.8","5282014.2","27.2608","1","0.00000513148","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1","916428.8","5282014.2","26.0704","1","0.00000513646","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5","916428.8","5282018.4","756.6512","53.4","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5","916428.8","5282018.4","68.1058","3","0.00000581968","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5","916428.8","5282018.4","67.1602","2.8","0.0000058254999999999995","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10","916429.8","5282024","755.7618","53.6","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10","916429.8","5282024","91.91440000000001","4.2","0.00000638466","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10","916429.8","5282024","89.737","4.2","0.000006384980000000001","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50","916436","5282066","757.6732","53.4","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50","916436","5282066","176.9784","8","0.00000657566","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50","916436","5282066","175.46439999999998","8","0.00000657566","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100","916446.4","5282121.2","765.1482","53.8","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100","916446.4","5282121.2","207.57940000000002","9.6","0.0000065693","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100","916446.4","5282121.2","206.6118","9.6","0.0000065693","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500","916522.4","5282560.4","761.6841999999999","53.8","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500","916522.4","5282560.4","278.361","14","0.0000066667399999999995","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500","916522.4","5282560.4","277.8448","14","0.000006666720000000001","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000","916607.2","5283103","766.6366","53.6","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000","916607.2","5283103","326.0018","17.2","0.000006440480000000001","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000","916607.2","5283103","323.0388","17.2","0.00000644042","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000","917313.6","5287452.8","780.229","54","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000","917313.6","5287452.8","418.8048","24","0.000006563020000000001","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000","917313.6","5287452.8","418.21459999999996","24","0.00000656322","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10000","918210.2","5292892","782.3629999999999","54","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10000","918210.2","5292892","478.18140000000005","28.2","0.00000678088","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","10000","918210.2","5292892","478.28360000000004","28.2","0.00000678094","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50000","925112.8","5336216.8","816.954","54","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50000","925112.8","5336216.8","596.1602","38","0.00000674744","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","50000","925112.8","5336216.8","597.9798000000001","38","0.00000674756","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100000","932863.4","5389843.4","840.0110000000001","53","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100000","932863.4","5389843.4","670.2153999999999","42.2","0.00000682644","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","100000","932863.4","5389843.4","665.9732","42.2","0.00000682644","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500000","974063.8","5803800.6","848.1706","47","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500000","974063.8","5803800.6","861.4003999999999","47.2","0.00000454184","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","500000","974063.8","5803800.6","858.4604000000002","47.2","0.00000454184","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000000","995479.6","6303387.8","1019.8602000000001","48","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000000","995479.6","6303387.8","1042.6392","49","0.000001392384","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","1000000","995479.6","6303387.8","1043.2495999999999","49","0.000001392384","pagerankDynamic [skip-comp]"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000000","1008066.6","10282619.8","1418.2196","41","0","pagerankStatic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000000","1008066.6","10282619.8","1420.2376","40.8","3.8327984000000003e-7","pagerankDynamic"
"web-Google","916428","5105039","1542.573","62","0","pagerankMonolithic","5000000","1008066.6","10282619.8","1409.0074","40.8","3.8327984000000003e-7","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1","325729.2","1684923","170.3818","53","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1","325729.2","1684923","8.278","1.6","0.00000435552","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1","325729.2","1684923","6.0684000000000005","1.2","0.000004523280000000001","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5","325729.6","1684927.4","170.17020000000002","53","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5","325729.6","1684927.4","11.4434","2.2","0.000004488060000000001","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5","325729.6","1684927.4","9.3116","1.4","0.000004570780000000001","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10","325730.6","1684932.6","170.22220000000002","53","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10","325730.6","1684932.6","13.037600000000001","2.4","0.000004564120000000001","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10","325730.6","1684932.6","13.142399999999999","2.4","0.000004564120000000001","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50","325738.2","1684977","170.869","52.8","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50","325738.2","1684977","27.9178","5.4","0.00000510268","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50","325738.2","1684977","27.937","5.4","0.00000510268","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100","325745.4","1685030","171.945","53.2","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100","325745.4","1685030","36.2806","7","0.000005408739999999999","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100","325745.4","1685030","36.223800000000004","7","0.000005408739999999999","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","500","325818","1685466.8","175.26600000000002","53.4","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","500","325818","1685466.8","58.602599999999995","12.6","0.00000574768","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","500","325818","1685466.8","58.693000000000005","12.6","0.00000574768","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1000","325916.4","1686015.2","179.6936","54","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1000","325916.4","1686015.2","74.2876","17","0.000005911520000000001","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","1000","325916.4","1686015.2","74.26020000000001","17","0.000005911520000000001","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5000","326626.4","1690369.8","185.5206","54.4","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5000","326626.4","1690369.8","115.446","31","0.00000599576","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","5000","326626.4","1690369.8","115.1336","31","0.00000599576","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10000","327527.6","1695808","192.365","55.8","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10000","327527.6","1695808","137.0208","38.4","0.000005984","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","10000","327527.6","1695808","137.0582","38.4","0.000005984","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50000","333652.4","1738621","207.654","56.8","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50000","333652.4","1738621","184.9884","50.8","0.00000416658","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","50000","333652.4","1738621","184.8062","50.8","0.00000416658","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100000","339725.8","1790965.4","222.189","56.4","0","pagerankStatic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100000","339725.8","1790965.4","207.13739999999999","53","0.0000029519199999999998","pagerankDynamic"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","100000","339725.8","1790965.4","207.16140000000001","53","0.0000029519199999999998","pagerankDynamic [skip-comp]"
"web-NotreDame","325729","1497134","214.12","53","0","pagerankMonolithic","500000","356310.8","2190950","325.7512","53","0","pagerankStatic"
